Entity;Text;Start;End;Name
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;92;95;gas
Product;Position and P&L aggregation across all gas desks.;40;43;gas
Product;Ability to include the Gas Price book into TDS:;23;26;Gas
Product;Valuation of Gas Daily options.;13;16;Gas
Location;Deployment of TDS in Canada.;21;27;Canada
Person;-- Allan.;3;8;Allan
Person;Colleen is setting up a meeting tomorrow to discuss the direction for transport.;0;7;Colleen
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 02:00 PM;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 02:00 PM;63;73;10/09/2000
Time;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000 02:00 PM;74;82;02:00 PM
Person;Richard Burchfield;0;18;Richard Burchfield
Date;10/06/2000 06:59 AM;0;10;10/06/2000
Time;10/06/2000 06:59 AM;11;19;06:59 AM
Person;Phillip K Allen/HOU/ECT@ECT cc:;0;15;Phillip K Allen
Person;Beth Perlman/HOU/;0;12;Beth Perlman
Person;Phillip, Below is the issues & to do list as we go forward with documenting the requirements for consolidated physical/financial positions and transport trade capture.;0;7;Phillip
Person;"What we need to focus on is the first bullet in Allan's list; the need for a single set of requirements.";48;53;Allan
Person;Although the meeting with Keith, on Wednesday, was informative the solution of creating a infinitely dynamic consolidated position screen, will be extremely difficult and time consuming.;26;31;Keith
Time;Although the meeting with Keith, on Wednesday, was informative the solution of creating a infinitely dynamic consolidated position screen, will be extremely difficult and time consuming.;36;45;Wednesday
Time;Throughout the meeting on Wednesday, Keith alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel).;26;35;Wednesday
Person;Throughout the meeting on Wednesday, Keith alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel).;37;42;Keith
Time;What needs to happen on Monday from 3 - 5 is a effort to design a desired layout for the consolidated position screen, this is critical.;24;30;Monday
Person;Richard;0;7;Richard
Person;Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000;13;31;Richard Burchfield
Date;Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000;43;53;10/06/2000
Time;08:34 AM;0;8;08:34 AM
Person;Allan Severude 10/05/2000 06:03 PM;0;5;Allan
Date;Allan Severude 10/05/2000 06:03 PM;15;25;10/05/2000
Time;Allan Severude 10/05/2000 06:03 PM;26;34;06:03 PM
Person;Richard Burchfield/HOU/ECT@ECT cc:;0;18;Richard Burchfield
Person;Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,;0;10;Peggy Alix
Person;Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,;24;37;Russ Severson
Person;Scott Mills/HOU/;0;11;Scott Mills
Person;Kenny Ha/HOU/ECT@ECT;0;8;Kenny Ha
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;0;3;Gas
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;38;41;gas
Organization;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;46;51;Nymex
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;62;65;gas
Organization;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;70;81;Inside Ferc
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;92;95;gas
Product;Position and P&L aggregation across all gas desks.;40;43;gas
Product;Ability to include the Gas Price book into TDS:;23;26;Gas
Product;Valuation of Gas Daily options.;13;16;Gas
Location;Deployment of TDS in Canada.;21;27;Canada
Person;-- Allan.;3;8;Allan
Person;Colleen is setting up a meeting tomorrow to discuss the direction for transport.;0;7;Colleen
Person;Phillip ;0;7;Phillip
Person;Phillip ;0;7;Phillip
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/04/2000;36;51;Phillip K Allen
Organization;Enron North America Corp.;0;5;Enron
Location;Enron North America Corp.;6;19;North America
Person;Phillip K Allen/HOU/ECT@ECT,;0;15;Phillip K Allen
Person;Thomas A Martin/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT;0;15;Thomas A Martin
Person;Thomas A Martin/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT;29;39;Scott Neal
Person;Thomas A Martin/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT;53;64;John Arnold
Person;Thomas A Martin/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Grant Masson/HOU/ECT@ECT;78;90;Grant Masson
Person;Murphy/HOU/ECT@ECT, Vladimir Gorny/HOU/ECT@ECT,;0;6;Murphy
Person;Frank Hayden/Corp/Enron@Enron cc:;0;12;Frank Hayden
Person;Rita Hennessy/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Laura;0;13;Rita Hennessy
Person;Rita Hennessy/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Laura;30;40;Ina Rangel
Person;Harder/Corp/Enron@Enron, Kimberly Brown/HOU/ECT@ECT, Araceli;25;39;Kimberly Brown
Person;Romero/NA/Enron@Enron,;0;6;Romero
Person;Kimberly Hillis/HOU/ECT@ect;0;15;Kimberly Hillis
Time;Wednesday, October 11th Time: 2:30 - 3:30 Location:;0;9;Wednesday
Time;Wednesday, October 11th Time: 2:30 - 3:30 Location:;11;18;October
Time;Wednesday, October 11th Time: 2:30 - 3:30 Location:;30;34;2:30
Time;Wednesday, October 11th Time: 2:30 - 3:30 Location:;37;41;3:30
Person; Tim, mike grigsby is having problems with accessing the west power site.;1;4;Tim
Person; Tim, mike grigsby is having problems with accessing the west power site.;6;18;mike grigsby
Product; Tim, mike grigsby is having problems with accessing the west power site.;62;67;power
Person;Phillip ;0;7;Phillip
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000;63;73;10/03/2000
Time;04:30 PM;0;8;04:30 PM
Person;--------------------------- George Richards <cbpres@austin.rr.com> on 10/03/2000 06:35:56 AM;28;43;George Richards
Date;--------------------------- George Richards <cbpres@austin.rr.com> on 10/03/2000 06:35:56 AM;70;80;10/03/2000
Time;--------------------------- George Richards <cbpres@austin.rr.com> on 10/03/2000 06:35:56 AM;81;92;06:35:56 AM
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>;0;12;Larry Lewter
Location;Investor's Alliance says that these demographics are similar to the package on San Marcos that you received earlier.;79;89;San Marcos
Location;San Marcos;0;10;San Marcos
Location;The property across the street from the Sagewood units in San Marcos is for sale and approved for 134 units.;58;68;San Marcos
Money;The land is selling for $2.50 per square foot as it is one of only two remaining approved multifamily parcels in West San Marcos, which now has a moratorium on development.;24;29;$2.50
Location;The land is selling for $2.50 per square foot as it is one of only two remaining approved multifamily parcels in West San Marcos, which now has a moratorium on development.;118;128;San Marcos
Money;Several new studies we have looked at show that the rents for our duplexes and for these new units are going to be significantly higher, roughly $1.25 per square foot if leased for the entire unit on a 12-month lease and;145;150;$1.25
Time;Several new studies we have looked at show that the rents for our duplexes and for these new units are going to be significantly higher, roughly $1.25 per square foot if leased for the entire unit on a 12-month lease and;202;210;12-month
Money;$1.30 - $1.40 psf;0;17;$1.30 - $1.40 psf
Time;if leased on a 12-month term, but by individual room.;15;23;12-month
Money;The equity requirement is not yet known, but it would be likely to be $300,000 to secure the land.;70;78;$300,000
Time;I will know more on this question later today.;40;45;today
Person;Sincerely, George W. Richards President, Creekside Builders, LLC - winmail.dat  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000;11;29;George W. Richards
Organization;Sincerely, George W. Richards President, Creekside Builders, LLC - winmail.dat  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000;41;64;Creekside Builders, LLC
Person;Sincerely, George W. Richards President, Creekside Builders, LLC - winmail.dat  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000;116;131;Phillip K Allen
Date;Sincerely, George W. Richards President, Creekside Builders, LLC - winmail.dat  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/03/2000;143;153;10/03/2000
Time;04:13 PM --------------------------- Nancy Hall@ENRON;0;8;04:13 PM
Person;Mark Whitt/NA/Enron@Enron, Phillip K Allen/HOU/ECT@ECT, Paul T;0;10;Mark Whitt
Person;Mark Whitt/NA/Enron@Enron, Phillip K Allen/HOU/ECT@ECT, Paul T;27;42;Phillip K Allen
Person;Lucci/NA/Enron@Enron, Paul Bieniawski/Corp/Enron@ENRON,;22;37;Paul Bieniawski
Person;Jean Mrha/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Monica;0;9;Jean Mrha
Person;Jean Mrha/NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, Monica;26;36;Ina Rangel
Time;There will be a meeting on Tuesday, Oct. 10th at 4:00pm in EB3270 regarding Storage Strategies in the West.;27;34;Tuesday
Time;There will be a meeting on Tuesday, Oct. 10th at 4:00pm in EB3270 regarding Storage Strategies in the West.;36;40;Oct.
Time;There will be a meeting on Tuesday, Oct. 10th at 4:00pm in EB3270 regarding Storage Strategies in the West.;49;55;4:00pm
Person;Nancy Hall;0;10;Nancy Hall
Location;ENA Denver office;4;10;Denver
Person; Brenda, Please use the second check as the October payment.;1;7;Brenda
Time; Brenda, Please use the second check as the October payment.;44;51;October
Person;Phillip;0;7;Phillip
Person; Brenda, Please use the second check as my October payment.;1;7;Brenda
Time; Brenda, Please use the second check as my October payment.;43;50;October
Person;Phillip ;0;7;Phillip
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/28/2000 01:09 PM ---------------------------;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/28/2000 01:09 PM ---------------------------;63;73;09/28/2000
Time;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/28/2000 01:09 PM ---------------------------;74;82;01:09 PM
Person;From: Phillip K Allen 09/28/2000 10:56 AM Liane,;6;21;Phillip K Allen
Date;From: Phillip K Allen 09/28/2000 10:56 AM Liane,;22;32;09/28/2000
Time;From: Phillip K Allen 09/28/2000 10:56 AM Liane,;33;41;10:56 AM
Person;From: Phillip K Allen 09/28/2000 10:56 AM Liane,;42;47;Liane
Time;As we discussed yesterday, I am concerned there may have been an attempt to manipulate the El Paso San Juan monthly index.;16;25;yesterday
Location;As we discussed yesterday, I am concerned there may have been an attempt to manipulate the El Paso San Juan monthly index.;91;107;El Paso San Juan
Time;It appears that a single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas.;63;72;September
Money;It appears that a single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas.;113;124;$4.70-$4.80
Location;It appears that a single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas.;130;138;San Juan
Product;It appears that a single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas.;139;142;gas
Product;At the time of these trades, offers for physical gas at significantly (10 to 15 cents);49;52;gas
Money;At the time of these trades, offers for physical gas at significantly (10 to 15 cents);77;85;15 cents
Location;Additionally, these trades are out of line with the associated financial swaps for San Juan.;83;91;San Juan
Time;We have compiled a list of financial and physical trades executed from September 25 to September 27.;71;80;September
Time;We have compiled a list of financial and physical trades executed from September 25 to September 27.;87;96;September
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;43;48;Enron
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;63;68;Enron
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;126;132;Amerex
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;134;137;APB
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;143;149;Prebon
Product;We have also included a summary of gas daily prices to illustrate the value of San Juan based on several spread relationships.;35;38;gas
Location;We have also included a summary of gas daily prices to illustrate the value of San Juan based on several spread relationships.;79;87;San Juan
Location;The spread relationship between San Juan and other points;32;40;San Juan
Time;is consistent between the end of September and October gas daily.;33;42;September
Time;is consistent between the end of September and October gas daily.;47;54;October
Product;is consistent between the end of September and October gas daily.;55;58;gas
Organization;It is Enron's belief that the trades at $4.70 and higher were above market trades that should be excluded from the calculation of index.;6;11;Enron
Money;It is Enron's belief that the trades at $4.70 and higher were above market trades that should be excluded from the calculation of index.;40;45;$4.70
Person;Sincerely, Phillip Allen  Liane, As we discussed yesterday, I am concerned there has been an attempt to manipulate the El Paso San Juan monthly index.;11;24;Phillip Allen
Person;Sincerely, Phillip Allen  Liane, As we discussed yesterday, I am concerned there has been an attempt to manipulate the El Paso San Juan monthly index.;26;31;Liane
Time;Sincerely, Phillip Allen  Liane, As we discussed yesterday, I am concerned there has been an attempt to manipulate the El Paso San Juan monthly index.;49;58;yesterday
Location;Sincerely, Phillip Allen  Liane, As we discussed yesterday, I am concerned there has been an attempt to manipulate the El Paso San Juan monthly index.;119;135;El Paso San Juan
Time;A single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas with the intent to distort the index.;47;56;September
Money;A single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas with the intent to distort the index.;97;108;$4.70-$4.80
Location;A single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas with the intent to distort the index.;114;122;San Juan
Product;A single buyer entered the marketplace on both September 26 and 27 and paid above market prices ($4.70-$4.80) for San Juan gas with the intent to distort the index.;123;126;gas
Product;At the time of these trades, offers for physical gas at significantly (10 to 15 cents);49;52;gas
Money;At the time of these trades, offers for physical gas at significantly (10 to 15 cents);77;85;15 cents
Location;Additionally, these trades are out of line with the associated financial swaps for San Juan.;83;91;San Juan
Time;We have compiled a list of financial and physical trades executed from September 25 to September 27.;71;80;September
Time;We have compiled a list of financial and physical trades executed from September 25 to September 27.;87;96;September
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;43;48;Enron
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;63;68;Enron
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;126;132;Amerex
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;134;137;APB
Organization;These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (Amerex, APB, and Prebon).;143;149;Prebon
Product;We have also included a summary of gas daily prices to illustrate the value of San Juan based on several spread relationships.;35;38;gas
Location;We have also included a summary of gas daily prices to illustrate the value of San Juan based on several spread relationships.;79;87;San Juan
Location;The spread relationship between San Juan and other points;32;40;San Juan
Time;is consistent between the end of September and October gas daily.;33;42;September
Time;is consistent between the end of September and October gas daily.;47;54;October
Product;is consistent between the end of September and October gas daily.;55;58;gas
Organization;It is Enron's belief that the trades at $4.70 and higher were above market trades that should be excluded from the calculation of index.;6;11;Enron
Money;It is Enron's belief that the trades at $4.70 and higher were above market trades that should be excluded from the calculation of index.;40;45;$4.70
Person;Sincerely, Phillip Allen  ----------------------;11;24;Phillip Allen
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000;40;50;09/26/2000
Time;04:28 PM;0;8;04:28 PM
Person;--------------------------- George Richards <cbpres@austin.rr.com> on 09/26/2000 01:18:45;28;43;George Richards
Date;--------------------------- George Richards <cbpres@austin.rr.com> on 09/26/2000 01:18:45;70;80;09/26/2000
Time;--------------------------- George Richards <cbpres@austin.rr.com> on 09/26/2000 01:18:45;81;89;01:18:45
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>, Claudia L. Crocker;0;12;Larry Lewter
Person;Larry Lewter <retwell@mail.sanmarcos.net>, Claudia L. Crocker;43;61;Claudia L. Crocker
Organization;Each of the individual investors and all of the principals in Creekside would also personally guarantee the loans.;62;71;Creekside
Organization;Unlike many real estate investment programs, none of the funds are used for fees to Creekside Builders, LLC.;84;107;Creekside Builders, LLC
Time;These professional expenses will be incurred over the estimated 6 month design and approval period.;64;71;6 month
Money;The $4,000 per month costs listed in the cash flow as part of land cost represent the extension fees due to the seller for up to 4 months of extensions on closing.;4;10;$4,000
Time;The $4,000 per month costs listed in the cash flow as part of land cost represent the extension fees due to the seller for up to 4 months of extensions on closing.;129;137;4 months
Money;With a land value equal to the purchase price of $680,000 this would mean a land loan of $476,000 with estimated monthly interest payments of $3,966, given a 10% annual interest rate, plus approximately 1.25% of the loan amount for closing costs and loan fees.;49;57;$680,000
Money;With a land value equal to the purchase price of $680,000 this would mean a land loan of $476,000 with estimated monthly interest payments of $3,966, given a 10% annual interest rate, plus approximately 1.25% of the loan amount for closing costs and loan fees.;89;97;$476,000
Money;With a land value equal to the purchase price of $680,000 this would mean a land loan of $476,000 with estimated monthly interest payments of $3,966, given a 10% annual interest rate, plus approximately 1.25% of the loan amount for closing costs and loan fees.;142;148;$3,966
Location;Once the site plan is approved by the City of Austin, the City will require the development entity to post funds for fiscal improvements, referred to as the fiscals.;46;52;Austin
Time;Releases can be granted once every 90 days;35;42;90 days
Time;and you should expect that the release would occur 6 months after the start of lot improvement construction.;51;59;6 months
Money;The lot improvement loan is typically 75% of the appraised value of a finished lot, which I suspect will be at least $20,000 and potentially as high as $25,000.;117;124;$20,000
Money;The lot improvement loan is typically 75% of the appraised value of a finished lot, which I suspect will be at least $20,000 and potentially as high as $25,000.;152;159;$25,000
Money;This would produce a loan amount of $15,000 on $20,000 per lot.;36;43;$15,000
Money;This would produce a loan amount of $15,000 on $20,000 per lot.;47;54;$20,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;44;50;$9,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;65;71;$2,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;93;99;$8,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;129;136;$19,000
Money;With estimated per lot improvement costs of $9,000, 'fiscals' at $2,000 and the land cost at $8,000 , total improved lot cost is $19,000 which means $0 to $4,000 per lot in total equity.;155;161;$4,000
Money;Thus, the additional equity for the improvement loan would be $0-$184,000.;63;73;0-$184,000
Money;If the first phase was say 40 units, the total lot improvement cost might average $31,000 per lot.;82;89;$31,000
Money;Of this, probably $13,000 would be for improvements and $19,000 for the land cost.;18;25;$13,000
Money;Of this, probably $13,000 would be for improvements and $19,000 for the land cost.;56;63;$19,000
